Algorithm,Precision,Recall,Fmeasure_Score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
H3,0.6543367346938775,0.4535809018567639,0.5357702349869451,0.19427447552447552,0.8057255244755245,0.4,powertoys
H3,0.6141429669485011,0.7064544650751547,0.6570723684210527,0.18225524475524477,0.8177447552447552,0.4,powertoys
H3,0.5920398009950248,0.7365163572060124,0.6564223798266352,0.19055944055944055,0.8094405594405595,0.4,powertoys
H3,0.6354166666666666,0.5932802829354553,0.6136259716506629,0.1846590909090909,0.8153409090909091,0.4,powertoys
H3,0.6397694524495677,0.5888594164456233,0.6132596685082874,0.18356643356643357,0.8164335664335665,0.4,powertoys
H1,0.6110080395794681,0.6337395766516998,0.6221662468513853,0.2976190476190476,0.7023809523809523,0.4,rmca
H1,0.5856416054267948,0.6645285439384221,0.6225961538461539,0.3115079365079365,0.6884920634920635,0.4,rmca
H1,0.6523101018010963,0.5343168697883258,0.587447108603667,0.29017857142857145,0.7098214285714286,0.4,rmca
H1,0.6074270557029178,0.5875561257216164,0.5973263775676556,0.3062996031746032,0.6937003968253967,0.4,rmca
H1,0.6195804195804195,0.568313021167415,0.5928404148544664,0.30183531746031744,0.6981646825396826,0.4,rmca
H1,0.6426116838487973,0.5997434252726106,0.6204379562043796,0.2837301587301587,0.7162698412698413,0.4,rmca
H1,0.7090336134453782,0.43296985246953174,0.5376344086021506,0.28794642857142855,0.7120535714285714,0.4,rmca
H1,0.6157469717362046,0.586914688903143,0.6009852216748769,0.3013392857142857,0.6986607142857143,0.4,rmca
H1,0.5987149532710281,0.6574727389352149,0.6267196575970652,0.30282738095238093,0.6971726190476191,0.4,rmca
H1,0.6030534351145038,0.5574085952533675,0.5793333333333334,0.31299603174603174,0.6870039682539683,0.4,rmca
